55.860737,-4.244423
55.859022,-4.251706
55.862692,-4.246645
55.858316,-4.243132
55.859096,-4.249170
55.859756,-4.250934
55.860055,-4.249785
55.859437,-4.246249
55.859937,-4.248403
55.859838,-4.250379
55.860190,-4.251231
55.859340,-4.250574
55.859570,-4.247328
55.859395,-4.245608
55.858144,-4.251560
55.859202,-4.251237
55.859719,-4.246521
55.859494,-4.243616
55.859351,-4.242569
55.860415,-4.250253
55.860794,-4.247207
55.859032,-4.242311
55.858866,-4.248453
55.859169,-4.243166
55.858725,-4.243380
55.860259,-4.248965
55.860368,-4.248396
55.860158,-4.248081
55.868735,-4.243478
55.860186,-4.249536
55.862242,-4.246667
55.860810,-4.247319
55.861931,-4.247480
55.860024,-4.247530
55.860794,-4.247207
55.857593,-4.245807
55.858572,-4.245384
55.858682,-4.246254
55.857960,-4.245397
55.857500,-4.244524
55.857716,-4.243993
55.857269,-4.243376
55.860881,-4.247883
55.858030,-4.242589
55.857026,-4.242946
55.858728,-4.245713
55.858728,-4.244690
55.858237,-4.245013
55.857851,-4.242994
55.858013,-4.244010
55.858364,-4.243966
55.857943,-4.243383
55.858592,-4.242781
55.858257,-4.242458
55.858515,-4.242073
55.859082,-4.241067
55.858415,-4.241636
55.859085,-4.240924
55.859432,-4.242574
55.860045,-4.240515
55.859085,-4.240924
55.860772,-4.241532
55.859733,-4.240338
55.859019,-4.240600
55.859565,-4.242198
55.858752,-4.240441
55.859245,-4.241476
55.859765,-4.244015
55.859765,-4.244015
55.860916,-4.245935
55.858708,-4.239911
55.861580,-4.248450
55.861072,-4.247239
55.860726,-4.244070
55.860206,-4.245447
55.860967,-4.244132
55.861245,-4.244692
55.860460,-4.243863
55.860968,-4.246529
55.859007,-4.248142
55.858518,-4.248337
55.857742,-4.248516
55.859602,-4.248001
55.858648,-4.246603
55.858353,-4.247002
55.858448,-4.250187
55.859105,-4.246693
55.858538,-4.250176
55.857861,-4.247868
55.858917,-4.250102
55.858997,-4.249675
55.858744,-4.249741
55.858564,-4.249267
55.859596,-4.248863
55.857984,-4.249010
55.859053,-4.248560
55.859351,-4.248481
55.859147,-4.248326
55.858716,-4.249308
55.861104,-4.243533
55.862731,-4.245497
55.862514,-4.245548
55.861098,-4.242398
55.861245,-4.244692
55.861431,-4.242865
55.861286,-4.246340
55.860776,-4.245240
55.868735,-4.243478
55.861810,-4.249662
55.862453,-4.251330
55.862125,-4.252557
55.862374,-4.252715
55.862194,-4.248294
55.862940,-4.251757
55.861724,-4.253365
55.861686,-4.252995
55.863961,-4.248508
55.863252,-4.248467
55.862048,-4.248430
55.860813,-4.252066
55.860698,-4.252459
55.860807,-4.252912
55.860852,-4.252403
55.860946,-4.253655
55.861279,-4.252636
55.863846,-4.251378
55.863846,-4.251378
55.861283,-4.253419
55.861611,-4.251696
55.860960,-4.254343
55.860592,-4.253827
55.861488,-4.253495
55.860828,-4.253728
55.861666,-4.254065
55.862880,-4.253560
55.862186,-4.253200
55.862425,-4.252894
55.863857,-4.253185
55.861814,-4.254840
55.861119,-4.255008
55.860836,-4.255215
55.860809,-4.255741
55.861044,-4.255659
55.861777,-4.255382
55.860850,-4.254976
55.863370,-4.254275
55.862457,-4.255069
55.862330,-4.254631
55.863926,-4.253860
55.865684,-4.254042
55.864637,-4.254317
55.863926,-4.253860
55.864204,-4.254851
55.863788,-4.254523
55.863362,-4.254706
55.862746,-4.254974
55.862696,-4.247876
55.864209,-4.245774
55.864209,-4.245774
55.864209,-4.245774
55.868735,-4.243478
55.860550,-4.253696
55.860500,-4.252511
55.860500,-4.252511
55.859799,-4.252470
55.859871,-4.252986
55.860097,-4.253878
55.860651,-4.252088
55.860664,-4.251370
55.860710,-4.251325
55.860375,-4.251481
55.859397,-4.252367
55.859639,-4.252397
55.859676,-4.252351
55.859695,-4.252257
55.859634,-4.251694
55.859577,-4.253784
55.859216,-4.251909
55.868735,-4.243478
55.858669,-4.251878
55.858384,-4.252724
55.858637,-4.252643
55.858971,-4.252550
55.860041,-4.253971
55.860149,-4.254456
55.859243,-4.254883
55.859644,-4.254075
55.859426,-4.254223
55.859197,-4.253442
55.859154,-4.254335
55.859383,-4.256074
55.858380,-4.254386
55.858643,-4.254241
55.859563,-4.256068
55.859706,-4.255581
55.859995,-4.255534
55.860122,-4.255461
55.859848,-4.255206
55.860382,-4.256451
55.860310,-4.256000
55.860270,-4.254751
55.860594,-4.255217
55.860700,-4.256278
55.860342,-4.255234
55.860136,-4.256677
55.859565,-4.256452
55.859797,-4.256513
55.859067,-4.256647
55.859147,-4.257163
55.860835,-4.258219
55.860844,-4.257725
55.857060,-4.258735
55.860353,-4.257568
55.860112,-4.257986
55.860295,-4.257293
55.868735,-4.243478
55.857183,-4.255978
55.857277,-4.251797
55.857038,-4.256034
55.856391,-4.255996
55.856109,-4.255708
55.856405,-4.255278
55.857038,-4.256034
55.856272,-4.255622
55.856896,-4.256409
55.857028,-4.256065
55.856857,-4.253147
55.856857,-4.253147
55.857718,-4.255674
55.857455,-4.255818
55.857328,-4.255907
55.856353,-4.254652
55.855648,-4.253876
55.856076,-4.254092
55.855630,-4.252437
55.855421,-4.252057
55.855220,-4.252237
55.855141,-4.252137
55.855768,-4.251278
55.855633,-4.250280
55.855979,-4.251530
55.855353,-4.251382
55.855446,-4.251164
55.856023,-4.255495
55.855566,-4.253967
55.854915,-4.251229
55.854955,-4.250001
55.855379,-4.249914
55.855380,-4.250361
